kind,value_dollars_per_unit,agentId,meanSharpeLike,ci95SharpeLike,meanPnl,ci95Pnl,meanTurnover,ci95Turnover,meanMaxDrawdownPct,meanCostDragProxy
combined,0.05,noise-2,-0.6903527426448386,0.29178120678604114,-333.4682401803912,141.99334972175478,3676,0,6.093619241719616,367.6
combined,0.05,noise-3,-0.7397795693050333,0.25182788646070314,-377.4435883794719,129.14917312481822,3695,0,6.189232879731715,369.5
combined,0.05,momentum-1,0.8896477793535105,0.9681070847257304,211.91417904791695,157.3629766932249,1795.7333333333333,17.159329722818384,1.8705773965339592,179.57333333333335
combined,0.05,meanrev-1,-1.183150275081639,0.3697684573767454,-740.308075517419,245.42502127130663,585.6,35.57608679481463,8.71501769131069,58.56
combined,0.05,marketmaker-1,0.144053748804034,0.24765814778061054,60.47846063244239,115.72265959656008,1434.6,18.40769540227642,4.282264075569032,143.46
combined,0.1,noise-1,-1.3799981483647803,0.20315726418112245,-741.4659074914894,107.88200003912884,3534,0,9.591659923938794,706.8000000000001
combined,0.1,noise-2,-1.4511655564050019,0.2918476710929354,-701.0682401803768,141.993349721759,3676,0,8.64784611274424,735.2
combined,0.1,noise-3,-1.4670791744051594,0.2505925317369617,-746.9435883794421,129.14917312482126,3695,0,8.932983369314494,739
combined,0.1,momentum-1,-0.40718648063194457,1.0638375150584158,32.34084571459638,156.7647857999489,1795.7333333333333,17.159329722818384,2.877440014793772,359.1466666666667
combined,0.1,meanrev-1,-1.2857943736360808,0.3656774849376514,-798.8680755174161,245.1273836774277,585.6,35.57608679481463,9.066517919997498,117.12
combined,0.1,marketmaker-1,-0.017769017903325263,0.2460082111869959,-11.25153936754541,115.35026130957917,1434.6,18.40769540227642,4.522757554020347,286.92
combined,0.2,noise-1,-2.6917821650907614,0.20571722665817382,-1448.26590749156,107.88200003913092,3534,0,15.592397284218073,1413.6000000000001
combined,0.2,noise-2,-2.9710479388341393,0.2921870372648442,-1436.2682401804327,141.99334972175865,3676,0,15.272309013560982,1470.4
combined,0.2,noise-3,-2.9200720604218326,0.2482905298849718,-1485.9435883795197,129.14917312482294,3695,0,15.707130858988135,1478
combined,0.2,momentum-1,-2.9760256159995238,1.2491404846200107,-326.8058209521025,155.61827620493847,1795.7333333333333,17.159329722818384,5.260659529411701,718.2933333333334
combined,0.2,meanrev-1,-1.4910392539723758,0.3578121384470601,-915.9880755174287,244.68624814377586,585.6,35.57608679481463,9.89155208595677,234.24
combined,0.2,marketmaker-1,-0.3414308701565499,0.24422892973304494,-154.71153936755684,114.62400757743407,1434.6,18.40769540227642,5.118368748911729,573.84
